ba,model,acc1_avg,acc5_avg,loss_avg,time,max_mem,dataset,device
0,alexnet,56.5420,79.0860,1.9111,17.883249282836914,587,imagenet,A100
1,densenet121,74.4300,91.9620,1.0285,45.52864980697632,1674,imagenet,A100
2,densenet161,77.1000,93.5700,0.9444,93.04100108146667,2538,imagenet,A100
3,densenet201,76.8840,93.3780,0.9275,69.06048083305359,2538,imagenet,A100
4,googlenet,69.7860,89.5300,1.2834,20.661712408065796,2538,imagenet,A100
5,inception_v3,69.5320,88.6520,1.8305,28.38525652885437,2538,imagenet,A100
6,mobilenet_v2,71.8600,90.3120,1.1482,19.182655572891235,3759,imagenet,A100
7,resnet101,77.3680,93.5600,0.9125,59.2410032749176,2538,imagenet,A100
8,resnet152,78.3200,94.0460,0.8771,82.10231900215149,2538,imagenet,A100
9,resnet18,69.7420,89.0880,1.2480,18.20096206665039,2538,imagenet,A100
10,resnet34,73.3020,91.4220,1.0818,23.282608032226562,2538,imagenet,A100
11,resnet50,76.1520,92.8800,0.9624,38.79592418670654,2538,imagenet,A100
12,resnext101_32x8d,79.3060,94.5260,0.9275,146.17185831069946,3759,imagenet,A100
13,resnext50_32x4d,77.6140,93.6880,0.9409,54.95843434333801,3759,imagenet,A100
14,shufflenet_v2_x0_5,60.5280,81.7360,1.7844,16.544116497039795,3759,imagenet,A100
15,shufflenet_v2_x1_0,69.3520,88.3040,1.3611,16.888403177261353,3759,imagenet,A100
16,squeezenet1_0,58.0860,80.4220,1.8678,19.89001202583313,3759,imagenet,A100
17,squeezenet1_1,58.2100,80.6180,1.8319,17.25907254219055,3759,imagenet,A100
18,vgg11,69.0460,88.6380,1.2612,33.032925844192505,3325,imagenet,A100
19,vgg11_bn,70.3620,89.8060,1.1973,37.32211995124817,3717,imagenet,A100
20,vgg13,69.9380,89.2580,1.2220,49.08965516090393,3718,imagenet,A100
21,vgg13_bn,71.5620,90.3740,1.1449,54.43972039222717,3718,imagenet,A100
22,vgg16,71.5840,90.3920,1.1462,58.176518201828,3739,imagenet,A100
23,vgg16_bn,73.3580,91.4920,1.0670,63.98634624481201,3739,imagenet,A100
24,vgg19,72.3880,90.8860,1.1162,67.512704372406,3759,imagenet,A100
25,vgg19_bn,74.2320,91.8520,1.0434,73.01283502578735,3759,imagenet,A100
